league,split,date,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LCK,2018-2,43264.15736,1.2,2,Red,ADC,Aiming,Afreeca Freecs,Yasuo,Irelia,Ezreal,Camille,Renekton,LeBlanc,1
LCK,2018-2,43264.15736,1.2,2,Red,Support,TusiN,Afreeca Freecs,Rakan,Irelia,Ezreal,Camille,Renekton,LeBlanc,1
LCK,2018-2,43264.15736,1.2,2,Blue,Team,Team,SK Telecom T1, ,Nocturne,Zoe,Taliyah,Alistar,Fiddlesticks,0
LCK,2018-2,43264.15736,1.2,2,Red,Team,Team,Afreeca Freecs, ,Irelia,Ezreal,Camille,Renekton,LeBlanc,1
LCK,2018-2,43264.20714,1.2,1,Blue,Top,Smeb,KT Rolster,Dr. Mundo,Vladimir,Irelia,Rakan,Ornn,Lulu,1
LCK,2018-2,43264.20714,1.2,1,Blue,Jungle,Rush,KT Rolster,Nocturne,Vladimir,Irelia,Rakan,Ornn,Lulu,1
LCK,2018-2,43264.20714,1.2,1,Blue,Middle,Ucal,KT Rolster,Zoe,Vladimir,Irelia,Rakan,Ornn,Lulu,1
LCK,2018-2,43264.20714,1.2,1,Blue,ADC,Deft,KT Rolster,Ashe,Vladimir,Irelia,Rakan,Ornn,Lulu,1
LCK,2018-2,43264.20714,1.2,1,Blue,Support,Mata,KT Rolster,Tahm Kench,Vladimir,Irelia,Rakan,Ornn,Lulu,1
LCK,2018-2,43264.20714,1.2,1,Red,Top,SoHwan,Jin Air Green Wings,Darius,Taliyah,Camille,Master Yi,Ezreal,Gangplank,0
LCK,2018-2,43264.20714,1.2,1,Red,Jungle,UmTi,Jin Air Green Wings,Olaf,Taliyah,Camille,Master Yi,Ezreal,Gangplank,0
LCK,2018-2,43264.20714,1.2,1,Red,Middle,Grace,Jin Air Green Wings,LeBlanc,Taliyah,Camille,Master Yi,Ezreal,Gangplank,0
LCK,2018-2,43264.20714,1.2,1,Red,ADC,Teddy,Jin Air Green Wings,Lucian,Taliyah,Camille,Master Yi,Ezreal,Gangplank,0
LCK,2018-2,43264.20714,1.2,1,Red,Support,Nova,Jin Air Green Wings,Shen,Taliyah,Camille,Master Yi,Ezreal,Gangplank,0
LCK,2018-2,43264.20714,1.2,1,Blue,Team,Team,KT Rolster, ,Vladimir,Irelia,Rakan,Ornn,Lulu,1
LCK,2018-2,43264.20714,1.2,1,Red,Team,Team,Jin Air Green Wings, ,Taliyah,Camille,Master Yi,Ezreal,Gangplank,0
LCK,2018-2,43264.28487,1.2,2,Blue,Top,SoHwan,Jin Air Green Wings,Irelia,Graves,Camille,Zoe,Renekton,Shen,0
LCK,2018-2,43264.28487,1.2,2,Blue,Jungle,UmTi,Jin Air Green Wings,Nunu,Graves,Camille,Zoe,Renekton,Shen,0
LCK,2018-2,43264.28487,1.2,2,Blue,Middle,Grace,Jin Air Green Wings,Karthus,Graves,Camille,Zoe,Renekton,Shen,0
LCK,2018-2,43264.28487,1.2,2,Blue,ADC,Teddy,Jin Air Green Wings,Kai'Sa,Graves,Camille,Zoe,Renekton,Shen,0
LCK,2018-2,43264.28487,1.2,2,Blue,Support,Nova,Jin Air Green Wings,Morgana,Graves,Camille,Zoe,Renekton,Shen,0
LCK,2018-2,43264.28487,1.2,2,Red,Top,Smeb,KT Rolster,Singed,Taliyah,Vladimir,Rakan,Ezreal,Lucian,1
