league,split,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LPL,2018-2,1,2,Blue,Team,Team,Topsports Gaming, ,Draven,Vladimir,Kai'sa,Lulu,Ornn,0
LPL,2018-2,1,2,Red,Team,Team,Rogue Warriors, ,Darius,Taliyah,Singed,Zoe,Gangplank,1
LPL,2018-2,1,1,Blue,Team,Team,Vici Gaming, ,Zoe,Rakan,Singed,Jax,Morgana,0
LPL,2018-2,1,1,Red,Team,Team,Bilibili Gaming, ,Taliyah,Graves,Camille,Lulu,Tahm Kench,1
LPL,2018-2,1,2,Blue,Team,Team,Bilibili Gaming, ,Taliyah,Graves,Irelia,Gangplank,Dr. Mundo,0
LPL,2018-2,1,2,Red,Team,Team,Vici Gaming, ,Zoe,Rakan,Singed,Morgana,Tahm Kench,1
LPL,2018-2,1,3,Blue,Team,Team,Vici Gaming, ,Zoe,Rakan,Singed,Lulu,Jax,0
LPL,2018-2,1,3,Red,Team,Team,Bilibili Gaming, ,Taliyah,Camille,Lucian,Jhin,Caitlyn,1
LCK,2018-2,2.1,1,Blue,Team,Team,KT Rolster, ,Lulu,Shen,Zoe,Vel'koz,Dr. Mundo,0
LCK,2018-2,2.1,1,Red,Team,Team,Kingzone DragonX, ,Swain,Camille,Irelia,Rakan,Thresh,1
LCK,2018-2,2.1,2,Blue,Team,Team,Kingzone DragonX, ,Swain,Camille,Xin Zhao,Nidalee,Xayah,1
LCK,2018-2,2.1,2,Red,Team,Team,KT Rolster, ,Taliyah,Nocturne,Shen,Ezreal,Tahm Kench,0
LCK,2018-2,2.1,1,Blue,Team,Team,Afreeca Freecs, ,Zoe,Alistar,Taliyah,Dr. Mundo,Ezreal,1
LCK,2018-2,2.1,1,Red,Team,Team,BBQ Olivers, ,Shen,Lulu,Aatrox,Blitzcrank,Rakan,0
LCK,2018-2,2.1,2,Blue,Team,Team,BBQ Olivers, ,Shen,Mordekaiser,Aatrox,Braum,Dr. Mundo,0
LCK,2018-2,2.1,2,Red,Team,Team,Afreeca Freecs, ,Zoe,Nocturne,Vladimir,Ornn,Darius,1
LCK,2018-2,2.2,1,Blue,Team,Team,Griffin, ,Nocturne,Irelia,Soraka,Fiddlesticks,Rakan,1
LCK,2018-2,2.2,1,Red,Team,Team,Jin Air Green Wings, ,Shen,Camille,Master Yi,Dr. Mundo,Aatrox,0
LCK,2018-2,2.2,2,Blue,Team,Team,Jin Air Green Wings, ,Shen,Camille,Master Yi,Ryze,Dr. Mundo,0
LCK,2018-2,2.2,2,Red,Team,Team,Griffin, ,Rakan,Nocturne,Ashe,Fiddlesticks,Soraka,1
LCK,2018-2,2.2,1,Blue,Team,Team,SK Telecom T1, ,Master Yi,Irelia,Zoe,Singed,Aatrox,1
LCK,2018-2,2.2,1,Red,Team,Team,MVP, ,Nocturne,Alistar,Swain,Morgana,Darius,0
LCK,2018-2,2.2,2,Blue,Team,Team,MVP, ,Nocturne,Vladimir,Soraka,Fiddlesticks,Rakan,1
LCK,2018-2,2.2,2,Red,Team,Team,SK Telecom T1, ,Master Yi,Zoe,Camille,Trundle,Skarner,0
LCK,2018-2,2.2,3,Blue,Team,Team,SK Telecom T1, ,Master Yi,Aatrox,Swain,Morgana,Lucian,0
LCK,2018-2,2.2,3,Red,Team,Team,MVP, ,Nocturne,Vladimir,Camille,Alistar,Rakan,1
LCK,2018-2,2.2,1,Blue,Team,Team,Gen.G, ,Swain,Nocturne,Aatrox,Zoe,Irelia,1
LCK,2018-2,2.2,1,Red,Team,Team,Hanwha Life Esports, ,Camille,Taliyah,Taric,Dr. Mundo,Kennen,0
LCK,2018-2,2.2,2,Blue,Team,Team,Hanwha Life Esports, ,Camille,Taliyah,Aurelion Sol,Ryze,Kennen,1
LCK,2018-2,2.2,2,Red,Team,Team,Gen.G, ,Swain,Nocturne,Master Yi,Gangplank,Vladimir,0
LCK,2018-2,2.2,3,Blue,Team,Team,Gen.G, ,Kai'Sa,Swain,Master Yi,Trundle,Singed,1
LCK,2018-2,2.2,3,Red,Team,Team,Hanwha Life Esports, ,Camille,Aurelion Sol,Lulu,Zoe,Taliyah,0
LCK,2018-2,2.3,1,Blue,Team,Team,Kingzone DragonX, ,Swain,Vladimir,Yasuo,LeBlanc,Irelia,1
LCK,2018-2,2.3,1,Red,Team,Team,Afreeca Freecs, ,Ezreal,Lulu,Nocturne,Mordekaiser,Lucian,0
LCK,2018-2,2.3,2,Blue,Team,Team,Afreeca Freecs, ,Ezreal,Dr. Mundo,Trundle,Morgana,Aatrox,1
LCK,2018-2,2.3,2,Red,Team,Team,Kingzone DragonX, ,Nocturne,Yasuo,Vladimir,Rakan,Shen,0
LCK,2018-2,2.3,3,Blue,Team,Team,Kingzone DragonX, ,Yasuo,Vladimir,Swain,Aatrox,Rakan,1
LCK,2018-2,2.3,3,Red,Team,Team,Afreeca Freecs, ,Zoe,Nocturne,Dr. Mundo,Morgana,Tahm Kench,0
LCK,2018-2,2.3,1,Blue,Team,Team,BBQ Olivers, ,Lulu,Ezreal,Nocturne,Soraka,Fiddlesticks,0
LCK,2018-2,2.3,1,Red,Team,Team,KT Rolster, ,Master Yi,Vladimir,Yasuo,Trundle,Skarner,1
LCK,2018-2,2.3,2,Blue,Team,Team,KT Rolster, ,Master Yi,Vladimir,Lulu,Yasuo,Fiddlesticks,1
LCK,2018-2,2.3,2,Red,Team,Team,BBQ Olivers, ,Ezreal,Zoe,Shen,Varus,Lucian,0
LCK,2018-2,2.4,1,Blue,Team,Team,Griffin, ,Swain,Nocturne,Camille,Blitzcrank,Alistar,1
LCK,2018-2,2.4,1,Red,Team,Team,SK Telecom T1, ,Trundle,Aatrox,Rakan,Soraka,Singed,0
LCK,2018-2,2.4,2,Blue,Team,Team,SK Telecom T1, ,Kai'Sa,Zoe,Nocturne,Singed,Dr. Mundo,0
LCK,2018-2,2.4,2,Red,Team,Team,Griffin, ,Swain,Lulu,Camille,Tahm Kench,Alistar,1
LCK,2018-2,2.4,1,Blue,Team,Team,MVP, ,Nocturne,Camille,Vladimir,Soraka,Rakan,1
LCK,2018-2,2.4,1,Red,Team,Team,Jin Air Green Wings, ,Master Yi,Swain,Lulu,Fiddlesticks,Morgana,0
LCK,2018-2,2.4,2,Blue,Team,Team,Jin Air Green Wings, ,Master Yi,Sejuani,Swain,Soraka,Fiddlesticks,0
LCK,2018-2,2.4,2,Red,Team,Team,MVP, ,Nocturne,Vladimir,Lulu,Jayce,Varus,1
EULCS,2018-2,2,1,Blue,Team,Team,Giants Gaming, ,Ryze,Taliyah,Zoe,Trundle,Kindred,0
EULCS,2018-2,2,1,Red,Team,Team,Unicorns of Love, ,Syndra,Darius,Nocturne,Varus,Kai'Sa,1
EULCS,2018-2,2,1,Blue,Team,Team,Roccat, ,Zoe,Nocturne,Aatrox,Dr. Mundo,Swain,1
EULCS,2018-2,2,1,Red,Team,Team,Vitality, ,Ornn,Taliyah,Taric,Ziggs,Braum,0
EULCS,2018-2,2,1,Blue,Team,Team,G2 Esports, ,Ryze,Irelia,Camille,Aatrox,Poppy,1
EULCS,2018-2,2,1,Red,Team,Team,Schalke 04, ,Heimerdinger,Nocturne,Taliyah,Fiddlesticks,Ziggs,0
EULCS,2018-2,2,1,Blue,Team,Team,Fnatic, ,Camille,Fiddlesticks,Zoe,Aatrox,Darius,1
EULCS,2018-2,2,1,Red,Team,Team,H2K, ,Taliyah,Yasuo,Shen,Ornn,Swain,0
EULCS,2018-2,2,1,Blue,Team,Team,Misfits, ,Yasuo,Nocturne,Vladimir,Aatrox,Darius,1
EULCS,2018-2,2,1,Red,Team,Team,Splyce, ,Taliyah,Ezreal,Draven,Pyke,Fiddlesticks,0
EULCS,2018-2,2,2,Blue,Team,Team,Roccat, ,Aatrox,Zoe,Irelia,Dr. Mundo,Cassiopeia,0
EULCS,2018-2,2,2,Red,Team,Team,Schalke 04, ,Fiddlesticks,Taliyah,Nocturne,Heimerdinger,Ezreal,1
EULCS,2018-2,2,2,Blue,Team,Team,Misfits, ,Swain,Azir,Nocturne,Lucian,Ezreal,1
EULCS,2018-2,2,2,Red,Team,Team,Giants Gaming, ,Zoe,Aatrox,Darius,Draven,Aurelion Sol,0
EULCS,2018-2,2,2,Blue,Team,Team,Unicorns of Love, ,Yasuo,Heimerdinger,Taliyah,Ziggs,Soraka,1
