league,split,week,game,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,result
LPL,2018-2,5,1,Red,Top,Xiyang,OMG,Gragas,Aatrox,Swain,Taliyah,Kled,Dr. Mundo,1
LPL,2018-2,5,2,Blue,ADC,Fury,Suning Gaming,Karthus,Yasuo,Rakan,Zoe,Pyke,Tahm Kench,1
LPL,2018-2,5,2,Blue,Jungle,H4cker,Suning Gaming,Nocturne,Yasuo,Rakan,Zoe,Pyke,Tahm Kench,1
LPL,2018-2,5,2,Blue,Middle,Angel,Suning Gaming,Irelia,Yasuo,Rakan,Zoe,Pyke,Tahm Kench,1
LPL,2018-2,5,2,Blue,Support,Yoon,Suning Gaming,Shen,Yasuo,Rakan,Zoe,Pyke,Tahm Kench,1
LPL,2018-2,5,2,Blue,Top,XiaoAL,Suning Gaming,Dr. Mundo,Yasuo,Rakan,Zoe,Pyke,Tahm Kench,1
LPL,2018-2,5,2,Red,ADC,XuanXuanPi,OMG,Kai'Sa,Aatrox,Swain,Taliyah,Morgana,Lucian,0
LPL,2018-2,5,2,Red,Jungle,Mountain,OMG,Sejuani,Aatrox,Swain,Taliyah,Morgana,Lucian,0
LPL,2018-2,5,2,Red,Middle,icon,OMG,Ryze,Aatrox,Swain,Taliyah,Morgana,Lucian,0
LPL,2018-2,5,2,Red,Support,Five,OMG,Alistar,Aatrox,Swain,Taliyah,Morgana,Lucian,0
LPL,2018-2,5,2,Red,Top,Xiyang,OMG,Gragas,Aatrox,Swain,Taliyah,Morgana,Lucian,0
LPL,2018-2,5,3,Blue,ADC,Fury,Suning Gaming,Vladimir,Yasuo,Zoe,Rakan,Lucian,Talon,1
LPL,2018-2,5,3,Blue,Jungle,H4cker,Suning Gaming,Nocturne,Yasuo,Zoe,Rakan,Lucian,Talon,1
LPL,2018-2,5,3,Blue,Middle,Angel,Suning Gaming,Ryze,Yasuo,Zoe,Rakan,Lucian,Talon,1
LPL,2018-2,5,3,Blue,Support,Yoon,Suning Gaming,Shen,Yasuo,Zoe,Rakan,Lucian,Talon,1
LPL,2018-2,5,3,Blue,Top,XiaoAL,Suning Gaming,Darius,Yasuo,Zoe,Rakan,Lucian,Talon,1
LPL,2018-2,5,3,Red,ADC,XuanXuanPi,OMG,Xayah,Aatrox,Swain,Taliyah,Morgana,Karthus,0
LPL,2018-2,5,3,Red,Jungle,Mountain,OMG,Gragas,Aatrox,Swain,Taliyah,Morgana,Karthus,0
LPL,2018-2,5,3,Red,Middle,icon,OMG,LeBlanc,Aatrox,Swain,Taliyah,Morgana,Karthus,0
LPL,2018-2,5,3,Red,Support,Five,OMG,Pyke,Aatrox,Swain,Taliyah,Morgana,Karthus,0
LPL,2018-2,5,3,Red,Top,Xiyang,OMG,Dr. Mundo,Aatrox,Swain,Taliyah,Morgana,Karthus,0
